"","exposure","category","effect","reference","HR","p","min_p.value2"
"17","Leasure_time_shovel_snow","Lifestyle and environment","-",FALSE,0.905201149764,0.25732362570356,"HR P>0.00014"
"18","Change_in_hearing","Lifestyle and environment","+",FALSE,1.36730598411871,0.0422374542913673,"HR P>0.00014"
"19","Change_in_hearing","Lifestyle and environment","-",FALSE,0.793861868489927,0.133312649719882,"HR P>0.00014"
"20","Cigarettes_per_day_category","Lifestyle and environment","+",FALSE,1.12372795788978,0.368135681636159,"HR P>0.00014"
"21","Cigarettes_per_day_category","Lifestyle and environment","-",FALSE,1.71893616152888,0.000000000274703451638752,"HR P<0.00014"
"22","Start_snuff_when_stopped_smoking","Lifestyle and environment","-",FALSE,1.52730310450819,0.00517949450866368,"HR P>0.00014"
"23","Start_snuff_when_stopped_smoking","Lifestyle and environment","+",FALSE,1.34680439423767,0.129934031174977,"HR P>0.00014"
"24","Exercise_satisfies_need_to_move","Lifestyle and environment","+",FALSE,0.956868468036175,0.596443135817117,"HR P>0.00014"
"25","Exercise_satisfies_need_to_move","Lifestyle and environment","-",FALSE,1.06869760006457,0.461633755064919,"HR P>0.00014"
"26","Get_hugs_as_support","Psychosocial factors","-",FALSE,1.16288048306363,0.145515089683164,"HR P>0.00014"
"27","Get_hugs_as_support","Psychosocial factors","+",FALSE,1.34480510549125,0.00193792638088639,"HR P>0.00014"
"28","Retirement_part_time","Sociodemographic factors","+",FALSE,1.17885298506149,0.229581371429308,"HR P>0.00014"
"29","Retirement_part_time","Sociodemographic factors","-",FALSE,1.88122253477421,0.000505531331380056,"HR P>0.00014"
"30","Age_start_smoking","Lifestyle and environment","+",FALSE,1.16880332885903,0.0898864898828397,"HR P>0.00014"
"31","Age_start_smoking","Lifestyle and environment","-",FALSE,1.5124929059085,0.00000356005906325326,"HR P<0.00014"
"32","Satisfaction_familiy","Lifestyle and environment","-",FALSE,1.64047174857021,0.00163559514944985,"HR P>0.00014"
"33","Satisfaction_familiy","Lifestyle and environment","+",FALSE,1.55696313762084,0.00303329076734201,"HR P>0.00014"
"34","Self_employed","Sociodemographic factors","-",FALSE,0.882707749500882,0.447066930413995,"HR P>0.00014"
"35","Self_employed","Sociodemographic factors","+",FALSE,0.746258480534494,0.128732924866163,"HR P>0.00014"
"36","Permanent_employment","Sociodemographic factors","-",FALSE,1.20317175932864,0.00733219572544208,"HR P>0.00014"
"37","Permanent_employment","Sociodemographic factors","+",FALSE,0.891603397838139,0.409246247078217,"HR P>0.00014"
"38","People_with_same_interest","Psychosocial factors","+",FALSE,1.0800043627172,0.267504564606383,"HR P>0.00014"
"39","People_with_same_interest","Psychosocial factors","-",FALSE,1.19429203742293,0.00438986326909949,"HR P>0.00014"
"40","Job_learn_new_things","Psychosocial factors","+",FALSE,1.28147270107462,0.000190682508204438,"HR P>0.00014"
"41","Job_learn_new_things","Psychosocial factors","-",FALSE,1.11044050163442,0.162973360999314,"HR P>0.00014"
"42","Participation_in_voluntary_organization","Psychosocial factors","+",FALSE,1.09982125726318,0.319385063039597,"HR P>0.00014"
"43","Participation_in_voluntary_organization","Psychosocial factors","-",FALSE,1.15579779888564,0.0511901739854002,"HR P>0.00014"
"44","Unemployed","Sociodemographic factors","-",FALSE,1.35087231244468,0.0568564899860561,"HR P>0.00014"
"45","Unemployed","Sociodemographic factors","+",FALSE,1.0680128513011,0.632931647767121,"HR P>0.00014"
"46","Sick_leave_6_months","Medications and medical history","+",FALSE,1.55360329276516,0.0000000413223455106429,"HR P<0.00014"
"47","Sick_leave_6_months","Medications and medical history","-",FALSE,1.56513943877464,0.00208788642481163,"HR P>0.00014"
"48","Leasure_time_hunt_fish","Lifestyle and environment","-",FALSE,1.01959601262434,0.834163001490248,"HR P>0.00014"
"49","Leasure_time_hunt_fish","Lifestyle and environment","+",FALSE,1.20436996364456,0.103930897752333,"HR P>0.00014"
"50","Meeting_people_1w","Psychosocial factors","+",FALSE,1.09111447171041,0.258527496035417,"HR P>0.00014"
"51","Meeting_people_1w","Psychosocial factors","-",FALSE,1.17359547978943,0.0142158432273497,"HR P>0.00014"
"52","Works_at_home","Sociodemographic factors","-",FALSE,1.3744323872479,0.126216714184084,"HR P>0.00014"
"53","Works_at_home","Sociodemographic factors","+",FALSE,0.761967927026104,0.33057761808009,"HR P>0.00014"
"54","Smoking_5_categories","Lifestyle and environment","+",FALSE,1.19004701238962,0.0183347588268272,"HR P>0.00014"
"55","Smoking_5_categories","Lifestyle and environment","-",FALSE,1.12057369626336,0.244216986099113,"HR P>0.00014"
"56","Number_close_friends","Psychosocial factors","-",FALSE,1.09476336615361,0.182158621399378,"HR P>0.00014"
"57","Number_close_friends","Psychosocial factors","+",FALSE,1.00996331958888,0.890937014341252,"HR P>0.00014"
"58","Hypertension","Medications and medical history","+",FALSE,1.25232814689364,0.00105396372381476,"HR P>0.00014"
"59","Hypertension","Medications and medical history","-",FALSE,0.694220307176615,0.106140096042245,"HR P>0.00014"
"60","Medication_none","Medications and medical history","+",FALSE,1.32052241418675,0.0193402086844485,"HR P>0.00014"
"61","Medication_none","Medications and medical history","-",FALSE,1.25165895777782,0.000340194783056997,"HR P>0.00014"
"62","Job_requires_skill","Psychosocial factors","-",FALSE,1.0220661851166,0.776645836602539,"HR P>0.00014"
"63","Job_requires_skill","Psychosocial factors","+",FALSE,1.24072634703306,0.00220896508989758,"HR P>0.00014"
"64","Medication_gastric_ulcer","Medications and medical history","+",FALSE,1.22585506668502,0.0922534524157134,"HR P>0.00014"
"65","Medication_gastric_ulcer","Medications and medical history","-",FALSE,1.20703989602421,0.317447515057391,"HR P>0.00014"
"66","Leasure_time_gardening","Lifestyle and environment","-",FALSE,0.993732019989424,0.94393072123887,"HR P>0.00014"
"67","Leasure_time_gardening","Lifestyle and environment","+",FALSE,0.905957898510851,0.352647297589775,"HR P>0.00014"
"68","Job_psychologically_demanding","Psychosocial factors","+",FALSE,1.105538819305,0.123360628226901,"HR P>0.00014"
"69","Job_psychologically_demanding","Psychosocial factors","-",FALSE,0.897539942551272,0.166074060913045,"HR P>0.00014"
"70","Who_live_with","Sociodemographic factors","-",FALSE,0.821348318336933,0.00130211213874599,"HR P>0.00014"
"71","Who_live_with","Sociodemographic factors","+",FALSE,1.14749367652712,0.123457663147183,"HR P>0.00014"
"72","BMI","Antropometric","0",FALSE,0.823431731395093,0.357344886251079,"HR P>0.00014"
"73","BMI","Antropometric","-",FALSE,1.33885625921525,0.000000752865286419844,"HR P<0.00014"
"74","Work_shifts_weekends","Sociodemographic factors","+",FALSE,1.21318298574236,0.0681384843762613,"HR P>0.00014"
"75","Work_shifts_weekends","Sociodemographic factors","-",FALSE,1.20859447055353,0.0487129361756789,"HR P>0.00014"
"76","Trainig_in_sport_outfit_frequency","Lifestyle and environment","+",FALSE,0.829880637404655,0.00997753567255847,"HR P>0.00014"
"77","Trainig_in_sport_outfit_frequency","Lifestyle and environment","-",FALSE,0.865710283640147,0.0453179964107071,"HR P>0.00014"
"78","Snuff_3_categories","Lifestyle and environment","-",FALSE,1.12879280415822,0.364117459053774,"HR P>0.00014"
"79","Snuff_3_categories","Lifestyle and environment","+",FALSE,1.15100923657237,0.281614032647518,"HR P>0.00014"
"80","People_to_ask_for_favour","Psychosocial factors","-",FALSE,1.91530916731752,0.000154304776829853,"HR P>0.00014"
"81","People_to_ask_for_favour","Psychosocial factors","+",FALSE,1.04093626391912,0.862330129931448,"HR P>0.00014"
"82","Number_people_speak_openly","Psychosocial factors","-",FALSE,0.953293029234687,0.455975253510718,"HR P>0.00014"
"83","Number_people_speak_openly","Psychosocial factors","+",FALSE,0.903765247450619,0.126452170816482,"HR P>0.00014"
"84","Family_heart_cerebral_infarction_60","Medications and medical history","-",FALSE,1.07652502485216,0.597557705384952,"HR P>0.00014"
"85","Family_heart_cerebral_infarction_60","Medications and medical history","+",FALSE,1.09829521308985,0.396471947515056,"HR P>0.00014"
"86","Heart_attack","Medications and medical history","+",FALSE,1.239908699767,0.263552011346426,"HR P>0.00014"
"87","Heart_attack","Medications and medical history","-",FALSE,3.39588839262048,0.0842418435906623,"HR P>0.00014"
"88","Temporary_employment","Sociodemographic factors","+",FALSE,1.13262416138577,0.377224338795629,"HR P>0.00014"
"89","Temporary_employment","Sociodemographic factors","-",FALSE,1.20047552470871,0.178347248291456,"HR P>0.00014"
"90","Medication_hypertension","Medications and medical history","-",FALSE,1.76957720131595,0.060030360206126,"HR P>0.00014"
"91","Medication_hypertension","Medications and medical history","+",FALSE,1.34067897143826,0.000016521721486038,"HR P<0.00014"
"92","Treatment_diabetes_tablets","Medications and medical history","+",FALSE,1.82312580280244,0.000114101010363766,"HR P<0.00014"
"93","Treatment_diabetes_tablets","Medications and medical history","-",FALSE,3.71244764792783,0.000218760094442449,"HR P>0.00014"
"94","Diabetes","Medications and medical history","-",FALSE,1.01145990573449,0.932707066883934,"HR P>0.00014"
"95","Diabetes","Medications and medical history","+",FALSE,1.32465738887777,0.000718303878706456,"HR P>0.00014"
"96","Treatment_diabetes_insulin","Medications and medical history","+",FALSE,2.79754004165169,0.00000875809042699705,"HR P<0.00014"
"97","Snuff_boxes_per_week","Lifestyle and environment","-",FALSE,1.19857367004952,0.327510954746866,"HR P>0.00014"
"98","Snuff_boxes_per_week","Lifestyle and environment","+",FALSE,1.31272205489141,0.0326193357311806,"HR P>0.00014"
"99","Job_control_over_planning_execution","Psychosocial factors","-",FALSE,1.10000685123036,0.190568460525144,"HR P>0.00014"
"100","Job_control_over_planning_execution","Psychosocial factors","+",FALSE,1.17013206347662,0.0282145026823336,"HR P>0.00014"
"101","Feel_appreciated_inside_home","Lifestyle and environment","+",FALSE,1.10642552368459,0.486236298054829,"HR P>0.00014"
"102","Feel_appreciated_inside_home","Lifestyle and environment","-",FALSE,0.946746560857463,0.757629644551401,"HR P>0.00014"
"103","Weight","Antropometric","0",FALSE,1.07879876235394,0.518788528790091,"HR P>0.00014"
"104","Weight","Antropometric","-",FALSE,1.34328113143337,0.000000747301985072362,"HR P<0.00014"
"105","Height","Antropometric","0",FALSE,0.832720748243087,0.00233224587366128,"HR P>0.00014"
"106","Height","Antropometric","+",FALSE,0.918083543064564,0.244128742979297,"HR P>0.00014"
"107","Job_visit_colleague_at_home","Psychosocial factors","-",FALSE,0.946082425116141,0.521220557457376,"HR P>0.00014"
"108","Job_visit_colleague_at_home","Psychosocial factors","+",FALSE,0.845741259317111,0.0286924600403511,"HR P>0.00014"
"109","Leasure_time_biking","Lifestyle and environment","-",FALSE,0.89032980230517,0.196864234006032,"HR P>0.00014"
"110","Leasure_time_biking","Lifestyle and environment","+",FALSE,0.866914416115527,0.118985442083927,"HR P>0.00014"
"111","Student","Sociodemographic factors","+",FALSE,0.648713807334411,0.54150987555847,"HR P>0.00014"
"112","Student","Sociodemographic factors","-",FALSE,0.978140658446941,0.926122476880794,"HR P>0.00014"
"113","Total_Cholesterol","Blood assays","0",FALSE,0.789649917601921,0.534040901324093,"HR P>0.00014"
"114","Total_Cholesterol","Blood assays","+",FALSE,0.823327223303209,0.00049085298021191,"HR P>0.00014"
"115","Glucose_2hr","Blood assays","0",FALSE,0.516484282225396,0.0630547083994805,"HR P>0.00014"
"116","Glucose_2hr","Blood assays","-",FALSE,1.03619855047671,0.561860293111097,"HR P>0.00014"
"117","Special_close_person","Psychosocial factors","+",FALSE,1.12167096794977,0.31344215323418,"HR P>0.00014"
"118","Special_close_person","Psychosocial factors","-",FALSE,1.16439290227539,0.120603492905306,"HR P>0.00014"
"119","Someone_to_turn_in_trouble","Psychosocial factors","-",FALSE,1.30886407800217,0.00668237664608817,"HR P>0.00014"
"120","Someone_to_turn_in_trouble","Psychosocial factors","+",FALSE,1.09214442502053,0.39899232211658,"HR P>0.00014"
"121","Satisfaction_housing","Lifestyle and environment","+",FALSE,1.23969323971986,0.140913810097135,"HR P>0.00014"
"122","Satisfaction_housing","Lifestyle and environment","-",FALSE,1.19480361429846,0.316649068982696,"HR P>0.00014"
"123","DBP","Antropometric","0",FALSE,0.902209950676208,0.283476399588144,"HR P>0.00014"
"124","DBP","Antropometric","-",FALSE,1.08073721649407,0.17018009805098,"HR P>0.00014"
"125","Person_share_feelings_happines_with","Psychosocial factors","-",FALSE,1.18000128888479,0.176386576231742,"HR P>0.00014"
"126","Person_share_feelings_happines_with","Psychosocial factors","+",FALSE,1.15526813136936,0.269634562374699,"HR P>0.00014"
"127","Medication_lipids","Medications and medical history","-",FALSE,1.13458610272279,0.858474398165767,"HR P>0.00014"
"128","Medication_lipids","Medications and medical history","+",FALSE,1.10356965080368,0.35859218990897,"HR P>0.00014"
"129","Individuals_get_support_from","Psychosocial factors","-",FALSE,1.41171362487413,0.0000374866225386649,"HR P<0.00014"
"130","Individuals_get_support_from","Psychosocial factors","+",FALSE,1.12480601122277,0.175061566756029,"HR P>0.00014"
"131","Family_diabetes","Medications and medical history","+",FALSE,1.04091120690942,0.698380112734739,"HR P>0.00014"
"132","Family_diabetes","Medications and medical history","-",FALSE,0.898057707035464,0.561822858663323,"HR P>0.00014"
"133","Treatment_diabetes_diet_exercise","Medications and medical history","+",FALSE,2.49943071847786,0.0000136709761521873,"HR P<0.00014"
"134","Treatment_diabetes_diet_exercise","Medications and medical history","-",FALSE,1.47026048798784,0.441604784111487,"HR P>0.00014"
"135","Medication_tranquillizers","Medications and medical history","-",FALSE,0.967889018682116,0.896826252542665,"HR P>0.00014"
"136","Medication_tranquillizers","Medications and medical history","+",FALSE,1.41328687612168,0.00155175299717413,"HR P>0.00014"
"137","Marital_status","Sociodemographic factors","-",FALSE,0.902351309992686,0.433778214806941,"HR P>0.00014"
"138","Marital_status","Sociodemographic factors","+",FALSE,1.14619009846527,0.145472280005891,"HR P>0.00014"
"139","Rosehip_sweet_syrup_soup","Diet","+",FALSE,1.31248352089859,0.00109337369435461,"HR P>0.00014"
"140","Rosehip_sweet_syrup_soup","Diet","-",FALSE,1.07610457330236,0.313541419723032,"HR P>0.00014"
"141","Job_light_and_physically_alctive","Lifestyle and environment","+",FALSE,0.938621501408333,0.506664065414224,"HR P>0.00014"
"142","Job_light_and_physically_alctive","Lifestyle and environment","-",FALSE,1.20954959971565,0.0290442571337586,"HR P>0.00014"
"143","Job_speak_colleagues_during_work","Psychosocial factors","-",FALSE,1.07468864461998,0.384449458242878,"HR P>0.00014"
"144","Job_speak_colleagues_during_work","Psychosocial factors","+",FALSE,1.2010327503042,0.0281578937569786,"HR P>0.00014"
"145","Treatment_diabetes_no","Medications and medical history","+",FALSE,1.1586397745113,0.15605590633211,"HR P>0.00014"
"146","Treatment_diabetes_no","Medications and medical history","-",FALSE,1.08861557157072,0.513261390158189,"HR P>0.00014"
"147","Person_share_feelings_with","Psychosocial factors","-",FALSE,1.16735394430866,0.205284640082955,"HR P>0.00014"
"148","Person_share_feelings_with","Psychosocial factors","+",FALSE,1.21628331291149,0.127506825160906,"HR P>0.00014"
"149","Job_contradictory_demands","Psychosocial factors","+",FALSE,1.12564153743407,0.0728043227392303,"HR P>0.00014"
"150","Job_contradictory_demands","Psychosocial factors","-",FALSE,0.994160394141304,0.936119936355006,"HR P>0.00014"
"151","Medication_heart","Medications and medical history","+",FALSE,1.42310961144995,0.00317530988331514,"HR P>0.00014"
"152","Medication_heart","Medications and medical history","-",FALSE,1.07370555272557,0.851227642475741,"HR P>0.00014"
"153","Change_in_mood","Lifestyle and environment","+",FALSE,0.958542458075873,0.777923695536131,"HR P>0.00014"
"154","Change_in_mood","Lifestyle and environment","-",FALSE,1.32107458878026,0.0787176756177599,"HR P>0.00014"
"155","Leasure_time_walking","Lifestyle and environment","0",FALSE,0.890832452434689,0.101016249874033,"HR P>0.00014"
"156","Leasure_time_walking","Lifestyle and environment","-",FALSE,1.05718595093869,0.490900144854617,"HR P>0.00014"
"157","Change_in_patience","Lifestyle and environment","0",FALSE,0.873273910294409,0.374272535189382,"HR P>0.00014"
"158","Change_in_patience","Lifestyle and environment","-",FALSE,1.29263751895756,0.0966564470672384,"HR P>0.00014"
"159","Wine","Diet","-",FALSE,1.60507449031555,0.000000071705385927964,"HR P<0.00014"
"160","Wine","Diet","+",FALSE,1.07139914556815,0.333899008020282,"HR P>0.00014"
"161","Triglycerides","Blood assays","0",FALSE,0.752596117352269,0.142190059073974,"HR P>0.00014"
"162","Triglycerides","Blood assays","-",FALSE,1.04903230368387,0.430963143846767,"HR P>0.00014"
"163","Glucose_Fasting","Blood assays","0",FALSE,0.630389308285819,0.0256624141879032,"HR P>0.00014"
"164","Glucose_Fasting","Blood assays","-",FALSE,0.923116274432675,0.1819400431613,"HR P>0.00014"
"165","Job_fast_movements","Psychosocial factors","-",FALSE,0.94133515426257,0.443704174813483,"HR P>0.00014"
"166","Job_fast_movements","Psychosocial factors","+",FALSE,1.05662369718419,0.389820026086051,"HR P>0.00014"
"167","Meeting_more_people","Psychosocial factors","-",FALSE,1.14334765104869,0.171571040299429,"HR P>0.00014"
"168","Meeting_more_people","Psychosocial factors","+",FALSE,1.0860244746449,0.408677940696161,"HR P>0.00014"
"169","Job_requires_ingenuity_creativity","Psychosocial factors","+",FALSE,1.1461987337633,0.045100273269764,"HR P>0.00014"
"170","Job_requires_ingenuity_creativity","Psychosocial factors","-",FALSE,1.04534668302069,0.567119270675739,"HR P>0.00014"
"171","Change_in_memory","Lifestyle and environment","+",FALSE,1.11125891953895,0.490863090326573,"HR P>0.00014"
"172","Change_in_memory","Lifestyle and environment","-",FALSE,1.29308336730992,0.0968595341245614,"HR P>0.00014"
"173","Pizza","Diet","+",FALSE,1.20897596375263,0.0318010175725531,"HR P>0.00014"
"174","Pizza","Diet","-",FALSE,0.927962322342936,0.319695198732749,"HR P>0.00014"
"175","Sweets","Diet","-",FALSE,1.17560034251099,0.0341863810884596,"HR P>0.00014"
"176","Sweets","Diet","+",FALSE,1.22985074230527,0.00840068389407149,"HR P>0.00014"
"177","Job_light_partly_physically_alctive","Lifestyle and environment","+",FALSE,1.16086020315078,0.105020369473434,"HR P>0.00014"
"178","Job_light_partly_physically_alctive","Lifestyle and environment","-",FALSE,1.0764073558363,0.4239737103886,"HR P>0.00014"
"179","Education","Sociodemographic factors","+",FALSE,1.00823619460573,0.929465372530147,"HR P>0.00014"
"180","Education","Sociodemographic factors","-",FALSE,1.01805203676287,0.860444122497103,"HR P>0.00014"
"181","Tea","Diet","+",FALSE,1.03769249082762,0.628433201590523,"HR P>0.00014"
"182","Tea","Diet","0",FALSE,0.812239381196939,0.00765880417374218,"HR P>0.00014"
"183","Job_leasure_time_with_colleagues","Psychosocial factors","-",FALSE,0.940771934322736,0.480772776658407,"HR P>0.00014"
"184","Job_leasure_time_with_colleagues","Psychosocial factors","+",FALSE,0.989246866112844,0.887513745415201,"HR P>0.00014"
"185","Satisfaction_finances","Lifestyle and environment","0",FALSE,0.830708772582058,0.210954054651848,"HR P>0.00014"
"186","Satisfaction_finances","Lifestyle and environment","-",FALSE,1.3806576059849,0.0464024775241268,"HR P>0.00014"
"187","Meat_stew","Diet","+",FALSE,1.18941859321905,0.0205403746633484,"HR P>0.00014"
"188","Meat_stew","Diet","-",FALSE,1.13564166628784,0.11061223609218,"HR P>0.00014"
"189","Corn_flakes","Diet","+",FALSE,1.05940399003512,0.437051291987724,"HR P>0.00014"
"190","Corn_flakes","Diet","0",FALSE,0.829295017578473,0.0200859487794305,"HR P>0.00014"
"191","Leasure_time_dancing","Lifestyle and environment","-",FALSE,1.18788443548729,0.163315274061604,"HR P>0.00014"
"192","Leasure_time_dancing","Lifestyle and environment","+",FALSE,0.947236893914899,0.606931528394498,"HR P>0.00014"
"193","Cheese_10_17","Diet","0",FALSE,0.935112159444208,0.412416707233255,"HR P>0.00014"
"194","Cheese_10_17","Diet","+",FALSE,0.846897047110876,0.0249861698317178,"HR P>0.00014"
"195","Job_physically_demanding_sometimes","Lifestyle and environment","-",FALSE,0.983329065394472,0.860690302913697,"HR P>0.00014"
"196","Job_physically_demanding_sometimes","Lifestyle and environment","+",FALSE,1.24936691222022,0.0160136552848829,"HR P>0.00014"
"197","Fried_potato","Diet","-",FALSE,0.873143770255378,0.344261178891226,"HR P>0.00014"
"198","Fried_potato","Diet","+",FALSE,1.10371158108039,0.556576165246013,"HR P>0.00014"
"199","Medium_beer","Diet","-",FALSE,1.164731319798,0.037846682057172,"HR P>0.00014"
"200","Medium_beer","Diet","+",FALSE,1.14349785750239,0.106480720665574,"HR P>0.00014"
"201","Job_enought_time_for_assignments","Psychosocial factors","-",FALSE,0.94130941225615,0.365275572740599,"HR P>0.00014"
"202","Job_enought_time_for_assignments","Psychosocial factors","+",FALSE,0.97542426616954,0.729749901925441,"HR P>0.00014"
"203","Cooking_oil","Diet","-",FALSE,1.22871359135132,0.0166196936640109,"HR P>0.00014"
"204","Cooking_oil","Diet","0",FALSE,1.21457093369997,0.0122845859300792,"HR P>0.00014"
"205","Job_repetative","Psychosocial factors","+",FALSE,0.977831721124225,0.75519766831952,"HR P>0.00014"
"206","Job_repetative","Psychosocial factors","-",FALSE,0.955937055320597,0.535378838855827,"HR P>0.00014"
"207","Sodas","Diet","0",FALSE,0.797845299019275,0.00510088919773094,"HR P>0.00014"
"208","Sodas","Diet","+",FALSE,0.809086784535807,0.00555744848128373,"HR P>0.00014"
"209","Light_beer","Diet","+",FALSE,0.850171627165931,0.0791328200912923,"HR P>0.00014"
"210","Light_beer","Diet","0",FALSE,0.93900531244027,0.367160807221453,"HR P>0.00014"
"211","Change_in_sleep","Lifestyle and environment","0",FALSE,0.937254301713256,0.674455153587899,"HR P>0.00014"
"212","Change_in_sleep","Lifestyle and environment","+",FALSE,1.46376574116359,0.0134044885039965,"HR P>0.00014"
"213","Job_sedentary","Lifestyle and environment","-",FALSE,1.12035843078167,0.246723796782295,"HR P>0.00014"
"214","Job_sedentary","Lifestyle and environment","+",FALSE,0.96589688417915,0.745597349870101,"HR P>0.00014"
"215","Yoghurt_3","Diet","0",FALSE,0.978943328522215,0.78891030595004,"HR P>0.00014"
"216","Yoghurt_3","Diet","+",FALSE,1.11801123091629,0.137373304361465,"HR P>0.00014"
"217","Milk_3.0","Diet","-",FALSE,0.974165772299,0.741974770047799,"HR P>0.00014"
"218","Milk_3.0","Diet","+",FALSE,1.13812259142556,0.102528938146212,"HR P>0.00014"
"219","Boilded_coffee","Diet","+",FALSE,1.19962083776087,0.0433834894949119,"HR P>0.00014"
"220","Boilded_coffee","Diet","0",FALSE,1.08007214421727,0.274549719896917,"HR P>0.00014"
"221","Sausage_liver_pate_on_bread","Diet","-",FALSE,0.808583463994537,0.167895843185964,"HR P>0.00014"
"222","Sausage_liver_pate_on_bread","Diet","0",FALSE,0.919971770846547,0.588407001892069,"HR P>0.00014"
"223","Change_in_confidence","Lifestyle and environment","+",FALSE,0.785474804216071,0.105000009866405,"HR P>0.00014"
"224","Change_in_confidence","Lifestyle and environment","-",FALSE,0.990167841047393,0.950414165200725,"HR P>0.00014"
"225","SBP","Antropometric","0",FALSE,1.04500169632473,0.665485149276294,"HR P>0.00014"
"226","SBP","Antropometric","-",FALSE,1.02972720944179,0.621945606163176,"HR P>0.00014"
"227","Salty_fish","Diet","-",FALSE,1.10104373192165,0.26852296347714,"HR P>0.00014"
"228","Salty_fish","Diet","+",FALSE,1.16849751608837,0.0345876416140133,"HR P>0.00014"
"229","Cooking_margarine","Diet","+",FALSE,1.00856946712567,0.909565254813093,"HR P>0.00014"
"230","Cooking_margarine","Diet","0",FALSE,0.814375777801689,0.0116374693247545,"HR P>0.00014"
"231","Cooking_butter","Diet","-",FALSE,1.09433431662469,0.264443791234651,"HR P>0.00014"
"232","Cooking_butter","Diet","+",FALSE,0.955637474231813,0.541239233444318,"HR P>0.00014"
"233","Chips_salty_nuts_popcorn","Diet","-",FALSE,1.09358985205982,0.223426786790815,"HR P>0.00014"
"234","Chips_salty_nuts_popcorn","Diet","+",FALSE,0.986123518896648,0.86873437004472,"HR P>0.00014"
"235","Lean_fish","Diet","+",FALSE,1.07484582837155,0.337486868508364,"HR P>0.00014"
"236","Lean_fish","Diet","-",FALSE,1.16238446913392,0.0559790521933137,"HR P>0.00014"
"237","Change_in_fitness","Lifestyle and environment","0",FALSE,0.696575748432521,0.0212278382631515,"HR P>0.00014"
"238","Change_in_fitness","Lifestyle and environment","+",FALSE,0.732647699219994,0.0397768505546948,"HR P>0.00014"
"239","Job_physically_heavy","Psychosocial factors","+",FALSE,1.06975536713189,0.332908970146836,"HR P>0.00014"
"240","Job_physically_heavy","Psychosocial factors","-",FALSE,1.01416881273212,0.84380789270039,"HR P>0.00014"
"241","Strong_beer","Diet","+",FALSE,0.964101757904126,0.633425461157561,"HR P>0.00014"
"242","Strong_beer","Diet","-",FALSE,1.14187448879107,0.125992424384209,"HR P>0.00014"
"243","Job_physically_demanding_most_time","Lifestyle and environment","-",FALSE,0.969063648419918,0.861200792654527,"HR P>0.00014"
"244","Job_physically_demanding_most_time","Lifestyle and environment","+",FALSE,1.08978189784103,0.581523647453406,"HR P>0.00014"
"245","Egg_omelet","Diet","+",FALSE,0.864725264010415,0.348346712566979,"HR P>0.00014"
"246","Egg_omelet","Diet","-",FALSE,1.02552803035719,0.867559446393152,"HR P>0.00014"
"247","Brewed_filtered_coffee","Diet","-",FALSE,1.14211508259914,0.0660956200058865,"HR P>0.00014"
"248","Brewed_filtered_coffee","Diet","+",FALSE,1.07799958451566,0.370438206854039,"HR P>0.00014"
"249","Liquor_spirits","Diet","-",FALSE,1.2010515301818,0.0197843836661677,"HR P>0.00014"
"250","Liquor_spirits","Diet","+",FALSE,1.0382587033214,0.671941601917863,"HR P>0.00014"
"251","White_meat_poultry","Diet","-",FALSE,1.26190978127902,0.0202658125334263,"HR P>0.00014"
"252","White_meat_poultry","Diet","+",FALSE,0.934306370163461,0.323085965103733,"HR P>0.00014"
