"","exposure","category","cindex","r2_age","min_p.value","min_p.value2","above78"
"25","Get_hugs_as_support","Psychosocial factors",0.667258090667752,0.000801162626579758,0.00193792638088641,"HR P>0.00014",FALSE
"26","Glucose_2hr","Blood assays",0.662749774944516,0.00645406224914187,0.0630547083994796,"HR P>0.00014",FALSE
"27","Glucose_Fasting","Blood assays",0.659938491779062,0.00205097272421669,0.0256624141879029,"HR P>0.00014",FALSE
"28","Habitual_exercise_change_last_year","Lifestyle and environment",0.66966193281169,0.00104292328448032,0.0393653761997057,"HR P>0.00014",FALSE
"29","Heart_attack","Medications and medical history",0.66349298533598,0.00489303545620357,0.0842418435906621,"HR P>0.00014",FALSE
"30","Height","Antropometric",0.663068177992476,0.0174620336376543,0.00233224587366121,"HR P>0.00014",FALSE
"31","How_often_voluntary_organization","Psychosocial factors",0.655229938132687,0.00054736712290653,0.0817769689896962,"HR P>0.00014",FALSE
"32","Hypertension","Medications and medical history",0.664662292459724,0.00457910434931125,0.00105396372381472,"HR P>0.00014",FALSE
"33","Individuals_get_support_from","Psychosocial factors",0.66181938235686,0.0000853070537125661,0.0000374866225386628,"HR P<0.00014",FALSE
"34","Job_contradictory_demands","Psychosocial factors",0.660986888727129,0.00453342445891548,0.0728043227392309,"HR P>0.00014",FALSE
"35","Job_control_over_planning_execution","Psychosocial factors",0.663198987684372,0.0012547333527294,0.0282145026823337,"HR P>0.00014",FALSE
"36","Job_enought_time_for_assignments","Psychosocial factors",0.658312233621614,0.00221087744935432,0.365275572740599,"HR P>0.00014",FALSE
"37","Job_fast_movements","Psychosocial factors",0.659697693969768,0.00707680131284682,0.389820026086051,"HR P>0.00014",FALSE
"38","Job_learn_new_things","Psychosocial factors",0.666166785042958,0.00398291209917569,0.000190682508204421,"HR P>0.00014",FALSE
"39","Job_leasure_time_with_colleagues","Psychosocial factors",0.659082626260959,0.00130128269503698,0.480772776658407,"HR P>0.00014",FALSE
"40","Job_light_and_physically_alctive","Lifestyle and environment",0.661096290163483,0.000902056376504354,0.0290442571337588,"HR P>0.00014",FALSE
"41","Job_light_partly_physically_alctive","Lifestyle and environment",0.659314293896629,0.000633035515268626,0.105020369473436,"HR P>0.00014",FALSE
"42","Job_physically_demanding_most_time","Lifestyle and environment",0.65596240330408,0.00021280009813416,0.581523647453405,"HR P>0.00014",FALSE
"43","Job_physically_demanding_sometimes","Lifestyle and environment",0.658547859814351,0.00063072966664348,0.016013655284883,"HR P>0.00014",FALSE
"44","Job_physically_heavy","Psychosocial factors",0.65601175559766,0.00101706598446061,0.332908970146836,"HR P>0.00014",FALSE
"45","Job_psychologically_demanding","Psychosocial factors",0.663980389201539,0.00761924207119065,0.123360628226901,"HR P>0.00014",FALSE
"46","Job_repetative","Psychosocial factors",0.658119489279506,0.00149722451012772,0.535378838855826,"HR P>0.00014",FALSE
"47","Job_requires_ingenuity_creativity","Psychosocial factors",0.659613439488833,0.00370761956805575,0.0451002732697642,"HR P>0.00014",FALSE
"48","Job_requires_skill","Psychosocial factors",0.664171047183283,0.00413620400304331,0.00220896508989765,"HR P>0.00014",FALSE
"49","Job_sedentary","Lifestyle and environment",0.657505902020821,0.000883231842163916,0.246723796782296,"HR P>0.00014",FALSE
"50","Job_speak_colleagues_at_breaks","Psychosocial factors",0.654143602728346,0.000911810966891601,0.39482958710693,"HR P>0.00014",FALSE
"51","Job_speak_colleagues_during_work","Psychosocial factors",0.661036657494764,0.00103155772428152,0.0281578937569785,"HR P>0.00014",FALSE
"52","Job_visit_colleague_at_home","Psychosocial factors",0.663045786718832,0.00505118854910434,0.0286924600403508,"HR P>0.00014",FALSE
"53","Leasure_time_biking","Lifestyle and environment",0.662916325958265,0.000875050143625629,0.118985442083928,"HR P>0.00014",FALSE
"54","Leasure_time_dancing","Lifestyle and environment",0.658918736384082,0.00526313832972639,0.163315274061606,"HR P>0.00014",FALSE
"55","Leasure_time_gardening","Lifestyle and environment",0.66403003103422,0.00194903607003464,0.352647297589775,"HR P>0.00014",FALSE
"56","Leasure_time_hunt_fish","Lifestyle and environment",0.665280182241956,0.00154337233382694,0.103930897752333,"HR P>0.00014",FALSE
"57","Leasure_time_pick_berries_mushrooms","Lifestyle and environment",0.670025665250014,0.000917253712560852,0.0164081028976374,"HR P>0.00014",TRUE
"58","Leasure_time_shovel_snow","Lifestyle and environment",0.668823284184998,0.00415119928133667,0.257323625703561,"HR P>0.00014",FALSE
"59","Leasure_time_walking","Lifestyle and environment",0.66051619539302,0.00431601641928897,0.101016249874031,"HR P>0.00014",FALSE
"60","Marital_status","Sociodemographic factors",0.661287954401438,0.00196505830493287,0.145472280005889,"HR P>0.00014",FALSE
"61","Medication_gastric_ulcer","Medications and medical history",0.664082833463424,0.000282565438766485,0.092253452415713,"HR P>0.00014",FALSE
"62","Medication_heart","Medications and medical history",0.66080023692987,0.0107872806078183,0.00317530988331505,"HR P>0.00014",FALSE
"63","Medication_hypertension","Medications and medical history",0.663327107109132,0.0159470749133851,0.0000165217214860292,"HR P<0.00014",FALSE
"64","Medication_lipids","Medications and medical history",0.661945674740057,0.0174665024033394,0.35859218990897,"HR P>0.00014",FALSE
"65","Medication_none","Medications and medical history",0.664174099658925,0.00398494288910313,0.000340194783057024,"HR P>0.00014",FALSE
"66","Medication_tranquillizers","Medications and medical history",0.661482837834368,0.0010137671931707,0.00155175299717414,"HR P>0.00014",FALSE
"67","Meeting_more_people","Psychosocial factors",0.659691739394267,0.00489977318383191,0.17157104029943,"HR P>0.00014",FALSE
"68","Meeting_people_1w","Psychosocial factors",0.665151176287877,0.00477956434378268,0.0142158432273498,"HR P>0.00014",FALSE
"69","Number_close_friends","Psychosocial factors",0.664708010606971,0.0009081944121562,0.182158621399378,"HR P>0.00014",FALSE
"70","Number_people_speak_openly","Psychosocial factors",0.663583853802092,0.00212404719113664,0.126452170816482,"HR P>0.00014",FALSE
"71","Participation_in_voluntary_organization","Psychosocial factors",0.665986922355281,0.00112334503912428,0.0511901739854006,"HR P>0.00014",FALSE
"72","People_to_ask_for_favour","Psychosocial factors",0.663664323570213,0.000209033380771663,0.000154304776829872,"HR P>0.00014",FALSE
"73","People_with_same_interest","Psychosocial factors",0.666332145125146,0.00115296643100024,0.0043898632690994,"HR P>0.00014",FALSE
"74","Permanent_employment","Sociodemographic factors",0.666381389617467,0.0297916455743746,0.00733219572544197,"HR P>0.00014",FALSE
"75","Person_share_feelings_happines_with","Psychosocial factors",0.662223971340676,0.000691211195560406,0.176386576231741,"HR P>0.00014",FALSE
"76","Person_share_feelings_with","Psychosocial factors",0.661001896171647,0.00040724373551062,0.127506825160905,"HR P>0.00014",FALSE
"77","Physically_active_before_20","Lifestyle and environment",0.669018690221002,0.000946471935672449,0.121896281047725,"HR P>0.00014",FALSE
"78","Retirement_full","Sociodemographic factors",0.669134280146892,0.0395580715610434,0.00000431177993298615,"HR P<0.00014",FALSE
"79","Retirement_part_time","Sociodemographic factors",0.667026087503852,0.0137678240821361,0.000505531331380094,"HR P>0.00014",FALSE
"80","Satisfaction_familiy","Lifestyle and environment",0.66653493100475,0.00893485551377674,0.00163559514944989,"HR P>0.00014",FALSE
"81","Satisfaction_finances","Lifestyle and environment",0.659064948052161,0.00888017563561816,0.0464024775241263,"HR P>0.00014",FALSE
"82","Satisfaction_housing","Lifestyle and environment",0.662316668423131,0.0108599740613459,0.140913810097137,"HR P>0.00014",FALSE
"83","Satisfaction_leasure_time","Lifestyle and environment",0.651439418102339,0.00328409951697391,0.0623878026249843,"HR P>0.00014",FALSE
"84","Satisfaction_work","Lifestyle and environment",0.652462171967979,0.00072066452816636,0.45016479431737,"HR P>0.00014",FALSE
"85","SBP","Antropometric",0.656498530901258,0.000227461924977639,0.621945606163175,"HR P>0.00014",FALSE
"86","Self_employed","Sociodemographic factors",0.666396891948176,0.00179399513786684,0.128732924866164,"HR P>0.00014",FALSE
"87","Self_rated_health","Self-reported health",0.669944812253508,0.00517824711121717,0.00222121587287694,"HR P>0.00014",FALSE
"88","Sick_leave_6_months","Medications and medical history",0.665614647799759,0.00626112470041655,0.0000000413223455453249,"HR P<0.00014",FALSE
"89","Smoking_5_categories","Lifestyle and environment",0.664939113509385,0.00140403405721631,0.0183347588268272,"HR P>0.00014",FALSE
"90","Snuff_3_categories","Lifestyle and environment",0.663725631698097,0.00622291936429512,0.281614032647519,"HR P>0.00014",FALSE
"91","Snuff_boxes_per_week","Lifestyle and environment",0.663245171409982,0.00451528003282231,0.0326193357311804,"HR P>0.00014",FALSE
"92","Someone_to_turn_in_trouble","Psychosocial factors",0.662510524046383,0.000310618394582391,0.00668237664608828,"HR P>0.00014",FALSE
"93","Special_close_person","Psychosocial factors",0.662693909939989,0.000949192023797579,0.120603492905305,"HR P>0.00014",FALSE
"94","Start_snuff_when_stopped_smoking","Lifestyle and environment",0.668155366030643,0.000177041804026886,0.00517949450866362,"HR P>0.00014",FALSE
"95","Student","Sociodemographic factors",0.662882907717642,0.0108684968013367,0.541509875558471,"HR P>0.00014",FALSE
"96","Temporary_employment","Sociodemographic factors",0.66339544875316,0.00305747889601058,0.178347248291457,"HR P>0.00014",FALSE
"97","Total_Cholesterol","Blood assays",0.662825884952078,0.0229168622583509,0.000490852980211898,"HR P>0.00014",FALSE
"98","Trainig_in_sport_outfit_frequency","Lifestyle and environment",0.663752354623587,0.00544780933821075,0.00997753567255855,"HR P>0.00014",FALSE
"99","Treatment_diabetes_diet_exercise","Medications and medical history",0.661518505023743,0.0015945539020371,0.0000136709761522358,"HR P<0.00014",FALSE
"100","Treatment_diabetes_insulin","Medications and medical history",0.663246313491659,0.000891746753701602,0.00000875809042699682,"HR P<0.00014",FALSE
"101","Treatment_diabetes_no","Medications and medical history",0.661033605524839,0.00309532656565094,0.15605590633211,"HR P>0.00014",FALSE
"102","Treatment_diabetes_tablets","Medications and medical history",0.663312343213913,0.00365647840330382,0.000114101010363798,"HR P<0.00014",FALSE
"103","Triglycerides","Blood assays",0.660091678383463,0.00130935845158368,0.142190059073976,"HR P>0.00014",FALSE
"104","Unemployed","Sociodemographic factors",0.665721051492833,0.00119347538000171,0.0568564899860557,"HR P>0.00014",FALSE
"105","Weight","Antropometric",0.663083791860508,0.00897275451367642,0.000000747301985071225,"HR P<0.00014",FALSE
"106","Who_live_with","Sociodemographic factors",0.663971213193891,0.00644984600740563,0.00130211213874598,"HR P>0.00014",FALSE
"107","Work_shifts_weekends","Sociodemographic factors",0.663793112497178,0.00296623920292239,0.0487129361756786,"HR P>0.00014",FALSE
"108","Works_at_home","Sociodemographic factors",0.665010047447806,0.00305435297289057,0.126216714184085,"HR P>0.00014",FALSE
"109","Years_using_snuff","Lifestyle and environment",0.672496503337092,0.0213291329193925,0.0289029615343648,"HR P>0.00014",TRUE
"110","Apple_pear","Diet",0.650487027557953,0.00765604162383776,0.407336119126445,"HR P>0.00014",FALSE
"111","Bacon","Diet",0.652992857630019,0.00363377678406936,0.218991814912487,"HR P>0.00014",FALSE
"112","Banana","Diet",0.655020746220803,0.00257414519445598,0.344738736627538,"HR P>0.00014",FALSE
"113","Berries_fresh_or_frozen","Diet",0.650412631347668,0.00476451161421417,0.851355097154203,"HR P>0.00014",FALSE
"114","Boilded_coffee","Diet",0.656856878596119,0.00452114884668447,0.0433834894949121,"HR P>0.00014",FALSE
"115","Boiled_or_baked_potato","Diet",0.652045169693416,0.00543094297080306,0.308595212277783,"HR P>0.00014",FALSE
"116","Bregott_on_bread","Diet",0.649556175630716,0.00266867261228801,0.477293451604744,"HR P>0.00014",FALSE
"117","Brewed_filtered_coffee","Diet",0.655903213017147,0.0155778535820078,0.0660956200058869,"HR P>0.00014",FALSE
"118","Brown_beans_pea_soup","Diet",0.651742979902663,0.00293571604034793,0.416010478876539,"HR P>0.00014",FALSE
"119","Butter_on_bread","Diet",0.650326543713763,0.00350140118469088,0.339839843000336,"HR P>0.00014",FALSE
"120","Cheese_10_17","Diet",0.658614629663179,0.00376120048692466,0.024986169831718,"HR P>0.00014",FALSE
"121","Cheese_28","Diet",0.652522779615131,0.00364043596952572,0.465077529158435,"HR P>0.00014",FALSE
"122","Chips_salty_nuts_popcorn","Diet",0.656139062245848,0.00455893178063399,0.223426786790814,"HR P>0.00014",FALSE
"123","Coffee_rolls","Diet",0.652537113161806,0.00615888392214507,0.50848509036844,"HR P>0.00014",FALSE
"124","Cookies_pastry","Diet",0.647828417035474,0.00279106248328192,0.627617405741522,"HR P>0.00014",FALSE
"125","Cooking_butter","Diet",0.656164536303329,0.00375575267075827,0.26444379123465,"HR P>0.00014",FALSE
"126","Cooking_margarine","Diet",0.656177565335047,0.00407726715260971,0.0116374693247546,"HR P>0.00014",FALSE
"127","Cooking_oil","Diet",0.658146330285123,0.00267649248976398,0.0122845859300791,"HR P>0.00014",FALSE
"128","Corn_flakes","Diet",0.659026454523631,0.00552673915375996,0.0200859487794304,"HR P>0.00014",FALSE
"129","Cream_creme_fraiche_sour_cream","Diet",0.647547588041287,0.00563923045145118,0.84621129522953,"HR P>0.00014",FALSE
"130","Egg_omelet","Diet",0.655940077447015,0.0053112028133397,0.348346712566979,"HR P>0.00014",FALSE
"131","Fatty_fish","Diet",0.654770288788054,0.00362658871395299,0.0229332533537332,"HR P>0.00014",FALSE
"132","Fiber_cereals_muesli","Diet",0.653964209429499,0.00304510811504966,0.229270685600613,"HR P>0.00014",FALSE
"133","Fried_potato","Diet",0.658494979980242,0.00602899343784079,0.344261178891226,"HR P>0.00014",FALSE
"134","Hamburger","Diet",0.655658721957219,0.00249320386961844,0.140038907769811,"HR P>0.00014",FALSE
"135","Ice_cream","Diet",0.655141474896202,0.0115422120559746,0.0631687286936216,"HR P>0.00014",FALSE
"136","Lean_fish","Diet",0.656100533932758,0.00436929210549011,0.0559790521933137,"HR P>0.00014",FALSE
"137","Lettuce_lettuce_cabbage","Diet",0.642926049562917,0.00811942567825022,0.901900512263192,"HR P>0.00014",FALSE
"138","Light_beer","Diet",0.657921647555809,0.00305091535323389,0.0791328200912925,"HR P>0.00014",FALSE
"139","Liquor_spirits","Diet",0.655898068785513,0.00601365473908576,0.0197843836661679,"HR P>0.00014",FALSE
"140","Margarine_low_fat_on_bread","Diet",0.650097388448856,0.00414893482909865,0.871977352148695,"HR P>0.00014",FALSE
"141","Margarine_on_bread","Diet",0.650585380373777,0.00381808681245491,0.675830047326585,"HR P>0.00014",FALSE
"142","Meat_on_bread","Diet",0.651026578320916,0.00313548195122151,0.446756720824924,"HR P>0.00014",FALSE
"143","Meat_stew","Diet",0.659051165788202,0.00308800797147289,0.0205403746633483,"HR P>0.00014",FALSE
"144","Medium_beer","Diet",0.658369811448368,0.00558769791920907,0.0378466820571719,"HR P>0.00014",FALSE
"145","Milk_0.5","Diet",0.650482522157102,0.00490369913307724,0.575260927905257,"HR P>0.00014",FALSE
"146","Milk_1.5","Diet",0.654552202410321,0.0057511820861585,0.515861542945892,"HR P>0.00014",FALSE
"147","Milk_3.0","Diet",0.657156066805358,0.00649534765421114,0.102528938146212,"HR P>0.00014",FALSE
"148","Minced_meat_dishes","Diet",0.654938058635915,0.0027015737631565,0.31090003852514,"HR P>0.00014",FALSE
"149","Pancake_waffle","Diet",0.64653683672489,0.00996504599732277,0.631042106003947,"HR P>0.00014",FALSE
"150","Pasta","Diet",0.650584879731616,0.00294499196610056,0.215583195273768,"HR P>0.00014",FALSE
"151","Pizza","Diet",0.659463803889044,0.00367879120361784,0.0318010175725528,"HR P>0.00014",FALSE
"152","Rice","Diet",0.652817034507939,0.00256476767579342,0.295153719086867,"HR P>0.00014",FALSE
"153","Root_vegetables_carrot","Diet",0.65161594288854,0.00329445846897049,0.566738742750912,"HR P>0.00014",FALSE
"154","Rosehip_sweet_syrup_soup","Diet",0.661257662401446,0.00760906537290859,0.00109337369435458,"HR P>0.00014",FALSE
"155","Salad_dressing_with_oil","Diet",0.650087899637036,0.00246181291345968,0.583061345796953,"HR P>0.00014",FALSE
"156","Salty_fish","Diet",0.656460008213979,0.00516976720137145,0.0345876416140131,"HR P>0.00014",FALSE
"157","Sausage_as_main_dish","Diet",0.654801450170211,0.00581393064458725,0.138502984831931,"HR P>0.00014",FALSE
"158","Sausage_liver_pate_on_bread","Diet",0.656771494194768,0.00619427884465485,0.167895843185965,"HR P>0.00014",FALSE
"159","Smoked_fish_or_meat","Diet",0.654281805323425,0.00338389321015476,0.334240416330428,"HR P>0.00014",FALSE
"160","Sodas","Diet",0.65797036396268,0.00277815739359645,0.005100889197731,"HR P>0.00014",FALSE
"161","Steak","Diet",0.654764646694507,0.0101245952992742,0.378256773571534,"HR P>0.00014",FALSE
"162","Strong_beer","Diet",0.65600334466207,0.00516749313409354,0.125992424384209,"HR P>0.00014",FALSE
"163","Sugar_honey_marmelade_jam","Diet",0.653362608949996,0.00501792024052754,0.28019193181031,"HR P>0.00014",FALSE
"164","Sweets","Diet",0.659420080212705,0.00298776659990284,0.00840068389407156,"HR P>0.00014",FALSE
"165","Tea","Diet",0.659290885231298,0.00312481254230008,0.00765880417374221,"HR P>0.00014",FALSE
"166","Tomato_cucumber","Diet",0.651643688182153,0.00288948803180776,0.646132150747485,"HR P>0.00014",FALSE
"167","White_bread","Diet",0.654853264027659,0.00622310160134856,0.494486671705174,"HR P>0.00014",FALSE
"168","White_meat_poultry","Diet",0.655891054952309,0.0116881956828605,0.0202658125334262,"HR P>0.00014",FALSE
"169","Whole_grain_crisp_bread","Diet",0.651115853704718,0.00502362617357678,0.618728015323283,"HR P>0.00014",FALSE
"170","Whole_grain_soft_bread","Diet",0.655499036343579,0.00370615377814217,0.0139094744055686,"HR P>0.00014",FALSE
"171","Whole_wheat_rye_barley_porridge","Diet",0.649346975537199,0.00729353367335563,0.70400283436847,"HR P>0.00014",FALSE
"172","Wine","Diet",0.660226848225139,0.00624495556999395,0.0000000717053859622396,"HR P<0.00014",FALSE
"173","Yoghurt_3","Diet",0.65730985739535,0.00246661841541164,0.137373304361465,"HR P>0.00014",FALSE
"174","Yoghurt_low_fat","Diet",0.655797208018996,0.00256209781142816,0.231829961332125,"HR P>0.00014",FALSE
